Date : 2024-07-28 11:30:24
Directory : c:\dev\Jade
Total : 1621 files,  233987 codes, 19976 comments, 29338 blanks, all 283301 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\cmake\test_find_glm.cpp                      | C++        |         19 |          0 |          4 |         23 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_cpp_constexpr.cpp                  | C++        |        586 |          0 |        165 |        751 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_cpp_defaulted_ctor.cpp             | C++        |        118 |          0 |         28 |        146 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_force_aligned_gentypes.cpp         | C++        |          7 |          0 |          4 |         11 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_force_arch_unknown.cpp             | C++        |         10 |          0 |          5 |         15 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_force_compiler_unknown.cpp         | C++        |         32 |          0 |          7 |         39 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_force_ctor_init.cpp                | C++        |        100 |          0 |         40 |        140 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_force_depth_zero_to_one.cpp        | C++        |          8 |          0 |          5 |         13 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_force_explicit_ctor.cpp            | C++        |         10 |          1 |          7 |         18 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_force_inline.cpp                   | C++        |          8 |          0 |          5 |         13 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_force_left_handed.cpp              | C++        |          8 |          0 |          5 |         13 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_force_platform_unknown.cpp         | C++        |         10 |          0 |          5 |         15 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_force_pure.cpp                     | C++        |        357 |          3 |         84 |        444 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_force_quat_wxyz.cpp                | C++        |          9 |          0 |          5 |         14 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_force_size_t_length.cpp            | C++        |          8 |          0 |          5 |         13 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_force_unrestricted_gentype.cpp     | C++        |          8 |          0 |          5 |         13 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_force_xyzw_only.cpp                | C++        |         46 |          0 |         13 |         59 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_func_common.cpp                    | C++        |      1,138 |         15 |        279 |      1,432 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_func_exponential.cpp               | C++        |        130 |          1 |         55 |        186 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_func_geometric.cpp                 | C++        |        170 |          0 |         41 |        211 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_func_integer.cpp                   | C++        |      1,255 |         42 |        291 |      1,588 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_func_integer_bit_count.cpp         | C++        |        242 |         15 |         62 |        319 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_func_integer_find_lsb.cpp          | C++        |        324 |         54 |         78 |        456 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_func_integer_find_msb.cpp          | C++        |        325 |         60 |         81 |        466 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_func_matrix.cpp                    | C++        |        353 |          3 |         71 |        427 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_func_noise.cpp                     | C++        |          5 |          0 |          3 |          8 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_func_packing.cpp                   | C++        |        120 |          7 |         30 |        157 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_func_swizzle.cpp                   | C++        |        121 |          0 |         44 |        165 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_func_trigonometric.cpp             | C++        |          6 |          0 |          5 |         11 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_func_vector_relational.cpp         | C++        |        143 |          0 |         38 |        181 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_setup_force_cxx03.cpp              | C++        |         29 |          0 |          6 |         35 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_setup_force_cxx98.cpp              | C++        |         29 |          0 |          5 |         34 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_setup_force_cxx_unknown.cpp        | C++        |         10 |          0 |          5 |         15 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_setup_force_size_t_length.cpp      | C++        |         18 |          0 |          5 |         23 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_setup_message.cpp                  | C++        |        293 |          0 |         23 |        316 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_setup_platform_unknown.cpp         | C++        |         40 |          0 |          6 |         46 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_setup_precision.cpp                | C++        |         45 |          0 |         14 |         59 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_aligned.cpp                   | C++        |         88 |          0 |         26 |        114 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_cast.cpp                      | C++        |        116 |          0 |         39 |        155 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_ctor.cpp                      | C++        |        278 |          0 |         74 |        352 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_int.cpp                       | C++        |         19 |          0 |          8 |         27 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_length.cpp                    | C++        |         60 |          0 |         19 |         79 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_mat2x2.cpp                    | C++        |        154 |          0 |         45 |        199 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_mat2x3.cpp                    | C++        |        127 |          0 |         37 |        164 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_mat2x4.cpp                    | C++        |        129 |          0 |         40 |        169 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_mat3x2.cpp                    | C++        |        131 |          0 |         39 |        170 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_mat3x3.cpp                    | C++        |        171 |          0 |         46 |        217 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_mat3x4.cpp                    | C++        |        133 |          0 |         38 |        171 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_mat4x2.cpp                    | C++        |        135 |          0 |         38 |        173 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_mat4x3.cpp                    | C++        |        135 |          0 |         39 |        174 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_mat4x4.cpp                    | C++        |        167 |          4 |         53 |        224 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_vec1.cpp                      | C++        |        128 |         25 |         41 |        194 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_vec2.cpp                      | C++        |        336 |          4 |         89 |        429 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_vec3.cpp                      | C++        |        493 |         28 |        129 |        650 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\core\core_type_vec4.cpp                      | C++        |        619 |         67 |        173 |        859 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_clip_space.cpp                | C++        |         11 |          0 |          3 |         14 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_common.cpp                    | C++        |        213 |          9 |         15 |        237 |
